23.04.2019/08:38 SW ver:OXY10v3_33
Header Ch-1
Description: 
IDENTIFICATION
PHIboard number   : v1215648
PM number         : 00000000
Serial number     : S DLK 0001 000014   
MUX channel       : ON - 01

PARAMETERS
Signal LED current: 050
Ref LED current   : 081
Ref LED amplitude : 97404
Frequency         : 006
Sending interval  : 0001
Averaging         : 3
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 59.11 at 020.0°C amp 041900
100.00%a.s.phase 2: 28.64 at 020.0°C amp 020100
Date   (ddmmyy)   : 081216
Pressure (mBar)   : 1034

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1034
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/h;Oxy/% oxy sat.;Phase/°;Amp;Temp/°C
23.04.2019;15:13:10;6.58;7.033;41.150;12388.000;20.000
23.04.2019;15:18:09;6.67;7.113;41.020;12314.000;20.000
23.04.2019;15:23:09;6.75;7.043;41.130;12384.000;20.000
23.04.2019;15:28:09;6.83;7.087;41.060;12345.000;20.000
23.04.2019;15:33:09;6.92;6.999;41.200;12396.000;20.000
23.04.2019;15:38:09;7.00;7.108;41.030;12319.000;20.000
23.04.2019;15:43:09;7.08;6.962;41.260;12411.000;20.000
23.04.2019;15:48:09;7.17;7.050;41.120;12362.000;20.000
23.04.2019;15:53:09;7.25;6.941;41.290;12449.000;20.000
23.04.2019;15:58:09;7.33;7.039;41.140;12349.000;20.000
23.04.2019;16:03:09;7.42;6.957;41.260;12426.000;20.000
23.04.2019;16:08:10;7.50;7.083;41.060;12343.000;20.000
23.04.2019;16:13:10;7.58;6.926;41.310;12454.000;20.000
23.04.2019;16:18:10;7.67;7.054;41.110;12395.000;20.000
23.04.2019;16:23:09;7.75;7.052;41.110;12354.000;20.000
23.04.2019;16:28:09;7.83;6.949;41.280;12427.000;20.000
23.04.2019;16:33:09;7.92;7.081;41.070;12365.000;20.000
23.04.2019;16:38:10;8.00;6.880;41.390;12428.000;20.000
23.04.2019;16:43:09;8.08;6.995;41.200;12397.000;20.000
23.04.2019;16:48:10;8.17;6.867;41.410;12414.000;20.000
23.04.2019;16:53:10;8.25;6.934;41.300;12415.000;20.000
23.04.2019;16:58:10;8.33;6.867;41.410;12474.000;20.000
23.04.2019;17:03:09;8.42;7.035;41.140;12420.000;20.000
23.04.2019;17:08:10;8.50;6.905;41.350;12408.000;20.000
23.04.2019;17:13:09;8.58;6.966;41.250;12404.000;20.000
23.04.2019;17:18:10;8.67;7.104;41.030;12400.000;20.000
23.04.2019;17:23:10;8.75;6.930;41.310;12402.000;20.000
23.04.2019;17:28:09;8.83;6.951;41.270;12397.000;20.000
23.04.2019;17:33:09;8.92;6.993;41.210;12386.000;20.000
23.04.2019;17:38:09;9.00;7.066;41.090;12361.000;20.000
23.04.2019;17:43:09;9.08;6.991;41.210;12424.000;20.000
23.04.2019;17:48:09;9.17;7.104;41.030;12361.000;20.000
23.04.2019;17:53:10;9.25;6.924;41.320;12450.000;20.000
23.04.2019;17:58:09;9.33;7.104;41.030;12350.000;20.000
23.04.2019;18:03:10;9.42;6.932;41.300;12428.000;20.000
23.04.2019;18:08:09;9.50;6.968;41.250;12406.000;20.000
23.04.2019;18:13:10;9.58;7.077;41.070;12378.000;20.000
23.04.2019;18:18:09;9.67;6.981;41.230;12395.000;20.000
23.04.2019;18:23:09;9.75;7.077;41.080;12359.000;20.000
23.04.2019;18:28:09;9.83;6.899;41.360;12451.000;20.000
23.04.2019;18:33:10;9.92;6.957;41.260;12428.000;20.000
23.04.2019;18:38:10;10.00;7.006;41.190;12386.000;20.000
23.04.2019;18:43:10;10.08;6.851;41.440;12468.000;20.000
23.04.2019;18:48:10;10.17;6.999;41.200;12390.000;20.000
23.04.2019;18:53:10;10.25;6.817;41.490;12475.000;20.000
23.04.2019;18:58:10;10.33;7.946;39.770;11938.000;20.000
23.04.2019;19:03:09;10.42;7.739;40.070;12040.000;20.000
23.04.2019;19:08:09;10.50;7.458;40.490;12134.000;20.000
23.04.2019;19:13:10;10.58;7.498;40.430;12114.000;20.000
23.04.2019;19:18:10;10.67;7.655;40.190;12090.000;20.000
23.04.2019;19:23:09;10.75;7.506;40.410;12104.000;20.000
23.04.2019;19:28:09;10.83;8.315;39.250;11808.000;20.000
23.04.2019;19:33:09;10.92;8.011;39.680;11904.000;20.000
23.04.2019;19:38:09;11.00;7.580;40.310;12123.000;20.000
23.04.2019;19:43:10;11.08;7.374;40.610;12189.000;20.000
23.04.2019;19:48:10;11.17;7.060;41.100;12311.000;20.000
23.04.2019;19:53:10;11.25;7.144;40.970;12344.000;20.000
23.04.2019;19:58:10;11.33;6.995;41.200;12361.000;20.000
23.04.2019;20:03:10;11.42;7.094;41.050;12397.000;20.000
23.04.2019;20:08:09;11.50;6.909;41.340;12418.000;20.000
23.04.2019;20:13:09;11.58;6.828;41.470;12443.000;20.000
23.04.2019;20:18:09;11.67;6.805;41.510;12503.000;20.000
23.04.2019;20:23:09;11.75;6.637;41.780;12542.000;20.000
23.04.2019;20:28:10;11.83;6.771;41.560;12503.000;20.000
23.04.2019;20:33:09;11.92;6.700;41.680;12555.000;20.000
23.04.2019;20:38:09;12.00;6.742;41.610;12519.000;20.000
23.04.2019;20:43:10;12.08;6.769;41.570;12474.000;20.000
23.04.2019;20:48:09;12.17;6.748;41.600;12491.000;20.000
23.04.2019;20:53:09;12.25;6.846;41.440;12505.000;20.000
23.04.2019;20:58:09;12.33;6.719;41.650;12536.000;20.000
23.04.2019;21:03:09;12.42;6.691;41.690;12518.000;20.000
23.04.2019;21:08:10;12.50;6.725;41.640;12561.000;20.000
23.04.2019;21:13:10;12.58;6.702;41.680;12542.000;20.000
23.04.2019;21:18:09;12.67;6.788;41.540;12500.000;20.000
23.04.2019;21:23:09;12.75;6.696;41.690;12581.000;20.000
23.04.2019;21:28:09;12.83;6.740;41.610;12536.000;20.000
23.04.2019;21:33:09;12.92;6.763;41.580;12536.000;20.000
23.04.2019;21:38:09;13.00;6.861;41.420;12474.000;20.000
23.04.2019;21:43:09;13.08;6.666;41.740;12543.000;20.000
23.04.2019;21:48:09;13.17;6.828;41.470;12487.000;20.000
23.04.2019;21:53:10;13.25;6.731;41.630;12511.000;20.000
23.04.2019;21:58:09;13.33;6.823;41.480;12478.000;20.000
23.04.2019;22:03:09;13.42;6.800;41.520;12500.000;20.000
23.04.2019;22:08:09;13.50;6.884;41.380;12501.000;20.000
23.04.2019;22:13:09;13.58;6.840;41.450;12503.000;20.000
23.04.2019;22:18:09;13.67;6.767;41.570;12486.000;20.000
23.04.2019;22:23:10;13.75;6.823;41.480;12429.000;20.000
23.04.2019;22:28:09;13.83;6.771;41.560;12492.000;20.000
23.04.2019;22:33:10;13.92;6.807;41.510;12425.000;20.000
23.04.2019;22:38:09;14.00;6.817;41.490;12483.000;20.000
23.04.2019;22:43:10;14.08;6.857;41.420;12466.000;20.000
23.04.2019;22:48:09;14.17;6.748;41.600;12479.000;20.000
23.04.2019;22:53:09;14.25;6.907;41.350;12442.000;20.000
23.04.2019;22:58:09;14.33;6.907;41.340;12481.000;20.000
23.04.2019;23:03:10;14.42;6.890;41.370;12463.000;20.000
23.04.2019;23:08:10;14.50;6.719;41.650;12523.000;20.000
23.04.2019;23:13:10;14.58;6.855;41.430;12457.000;20.000
23.04.2019;23:18:09;14.67;6.784;41.540;12481.000;20.000
23.04.2019;23:23:10;14.75;6.832;41.460;12451.000;20.000
23.04.2019;23:28:10;14.83;6.639;41.780;12576.000;20.000
23.04.2019;23:33:09;14.92;6.932;41.310;12461.000;20.000
23.04.2019;23:38:09;15.00;6.794;41.530;12498.000;20.000
23.04.2019;23:43:10;15.08;6.874;41.400;12497.000;20.000
23.04.2019;23:48:09;15.17;6.752;41.600;12505.000;20.000
23.04.2019;23:53:10;15.25;6.819;41.490;12477.000;20.000
23.04.2019;23:58:09;15.33;6.813;41.500;12467.000;20.000
24.04.2019;00:03:09;15.42;6.932;41.300;12465.000;20.000
24.04.2019;00:08:09;15.50;6.849;41.440;12442.000;20.000
24.04.2019;00:13:10;15.58;6.867;41.410;12435.000;20.000
24.04.2019;00:18:09;15.67;6.888;41.370;12452.000;20.000
24.04.2019;00:23:09;15.75;6.897;41.360;12433.000;20.000
24.04.2019;00:28:10;15.83;6.819;41.490;12463.000;20.000
24.04.2019;00:33:10;15.92;6.853;41.430;12499.000;20.000
24.04.2019;00:38:09;16.00;6.878;41.390;12447.000;20.000
24.04.2019;00:43:09;16.08;6.897;41.360;12486.000;20.000
24.04.2019;00:48:10;16.17;6.974;41.240;12407.000;20.000
24.04.2019;00:53:10;16.25;6.834;41.460;12498.000;20.000
24.04.2019;00:58:09;16.33;6.920;41.320;12430.000;20.000
24.04.2019;01:03:10;16.42;6.826;41.480;12476.000;20.000
24.04.2019;01:08:10;16.50;6.957;41.260;12457.000;20.000
24.04.2019;01:13:10;16.58;6.880;41.390;12475.000;20.000
24.04.2019;01:18:09;16.67;6.932;41.300;12433.000;20.000
